1~3668~P 395.1 AMO~Amos, Janine~No, thank you!~Windsor Bridge Road~Cherrytree Press~1998~32~Social Studies
2~3664~P 395.1 AMO~Amos, Janine~I'm sorry!~Windsor Bridge Road~Cherrytree Press~1998~32~Social Studies
3~3666~P 395.1 AMO~Amos, Janine~After you!~Windsor Bridge Road~Cherrytree Press~1998~32~Social Studies
4~3660~P 302.3 AMO~Amos, Janine~It's mine!~Windsor Bridge Road~Cherrytree Press~1999~32~Social Studies
5~3655~P 302.1 AMO~Amos, Janine~Being helpful~Windsor Bridge Road~Cherrytree Press~1997~30~Social Studies
6~3657~P 177.7 AMO~Amos, Janine~Being kind~Windsor Bridge Road~Cherrytree Press~1997~30~Social Studies
7~3659~P 302.3 AMO~Amos, Janine~Move over!~Windsor Bridge Road~Cherrytree Press~1999~32~Social Studies
8~3661~P 302.3 AMO~Amos, Janine~Don't say that !~Windsor Bridge Road~Cherrytree Press~1999~32~Social Studies
9~3665~P 395.1 AMO~Amos, Janine~Hello!~Windsor Bridge Road~Cherrytree Press~1998~32~Social Studies
10~3662~P 302.3 AMO~Amos, Janine~It won't work!~Windsor Bridge Road~Cherrytree Press~1999~32~Social Studies
