1~705~P 741.5 STO~~Stories from panchatantra~~~~
2~2966~P 398.2 FAM~~Famous tales from panchatantra book 4~India~Tiny Tot Publications~~16
3~356~P PAN~~Panchatantra Part 1, The hypocrite cat~Delhi~Dreamland Publications~~24
4~360~P PAN~~Panchatantra Part 5, The Far sighted Swan~Delhi~Dreamland Publications~~24
5~352~P 398.2 PAN~~the Panchatantra selections 1~Delhi~Ratna Sagar Pvt.Ltd~1993~32
6~353~P 398.2 PAN~~the Panchatantra selections 2~Delhi~Ratna Sagar Pvt.Ltd~1993~32
7~353~P 398.2 PAN~~the Panchatantra selections 3~Delhi~Ratna Sagar Pvt.Ltd~1993~32
8~353~P 398.2 PAN~~the Panchatantra selections 5~Delhi~Ratna Sagar Pvt.Ltd~1993~32
9~13925~P ONE~~101 Panchatantra sttories~Uttar Pradesh~Om Books International~2012~120
