s.No.~11919~P ANI~~Animals and birds~New Delhji~Dreamland Publications~~14~Board books~Animals~Birds~~~~Rs.120
1~7818~P PFI~Pfister, Marcus~Penguin pete~Switzerland~~1997~12~Penguin stories~Board books~~~~~
2~5263~P CLI~Clise, Michele, Durkson~Animal alphabet~San Francisco~chronical books~1992~13~Animals~Alphabets~~~~~
3~6705~P WIL~Wilson-Max, Ken~Big blue engine~New York~Scholastic~1996~12~Engine~~~~~~$.7.95
4~13149~P PLA~~Play time-puzzle fun!~~Book Palace Series~~64~Puzzles~~~~~~
5~12022~P NUM~Numeraff, Laura~the Best mouse cookie~~Harper Collins Publishers~1999~22~Mouse stories~Board books~~~~~$.6.99
6~4633~P PRU~~Prudence(the pretty piglet)~London~Granddreams~2000~16~Board books~Pig stories~~~~~
7~14008~P GRA~Gray, Kes~If I was boss~London~Random house group ltd~2004~14~Girl stories~~~~~~£.1
8~11851~P CAP~Capucilli, Alysso satin~Biscuit visits the pumpkin patch~U.S.A~Harper Collins Publishers~2004~14~Board books~Dog stories~~~~~
9~14023~P KEM~Kemp, Jane~Dog ~London~Frances Lincoln Children Books~2007~11~Board books~Dog stories~~~~~
10~11857~P HAR~Harrison, Anna~Farm~London~DK Publications~2006~34~Farms~~~~~~$.4.99
11~11948~P AME~Amery, Cartwright~Curly the pig~London~Usborne House~1994~10~Board books~Pig stories~~~~~
12~3695~P FRU~~Fruits~Mumbai~Navneet Publications~1995~12~Alphabets~Board books~~~~~Rs.36
13~14019~P LAV~Lavelle, Sheila~Fetch the sliper~London~Puffin Books~1989~30~Dogs-fiction~~~~~~
14~3433~P 741.5LEY~Leydenfrost, Robert~The elephant book~U.S.A~The Permanent Press~1979~121~Cartoons~~~~~~
15~3915~P 914 ANN~Anno~Postcards of Europe~Japan~Iwasaki shoten~2001~55~Europe-Postcards~~~~~~
16~2101~P AES~~The Aesop's fables~Calcutta~Script~~59~Moral stories~Fables~~~~~
17~7759~P MAN~Manandhar, Shanta Dass~Sagun's pistol and rocket and other stories~Kathmandu~Baalkoseli Publications~2004~29~Short stories~~~~~First~
18~3906~P DEI~Deiye, Eadiuur~An island ~Japan~Asian Cultural Centre~1995~9~Island-fiction~~~~~~
19~3760~P FRO~~The frog and the bull~India~Tiny tot publications~1997~8~Short stories~Moral stories~~~~~Rs.12
20~3750~P HAR~~The horse and the stag~India~Tiny tot publications~~8~Short stories~Moral stories~~~~~Rs.12
21~14022~P BON~Bond, Michael~Paddington rules the waves~London~Harper Collins Publishers~2008~23~Bears-fiction~~~~~~
22~11477~P 398.2 SHA~Sharma,Pandit Vishnu~Stories from Hitopadesha~India~Tiny tot publications~2006~160~Wit and humour stories~Hindi stories~Short stories~~~~Rs.35
23~8188~P 636-7 AND~Anderson, J.I~I can read about:dogs and pupies~New Jersey~Troll Associates~~16~Dogs~~~~~First~
24~14077~P BES~~Best of witty Tenali Raman~India~Tiny tot publications~2012~144~Humorous stories~Short stories~~~~~Rs.312
25~14112~P CHI~Child, Lauren~I am too absolutely small for school~U.K~Orchard Books~~31~School-fiction~School stories~~~~~£.5.99
26~14084~P HAR~~The hare and the hounds~Delhi~Blackrose publications~~16~hare-fiction~dog-fiction~~~~~Rs.40
27~12617~P RIC~~Ricky the racoon~Washington~National Wildlife Federation~2011~20~Animal babies~~~~~~
28~11782~P WEB~Webster, James~Roundabouts the secret room~Leeds~E.J.Arnold and Son~1978~24~Rooms-fiction~~~~~~
29~11867~P CHAR~Carlstrom, Nancy White~No nap for Benjamin Badger~New York~Macmillan Publishing Company ~1991~27~Badgers-fiction~Naps(sleep)-fiction~Stories in rhyme~~~~
30~14058~P 741.5 INT~~Intresting cartoons~Delhi~Roshan Book Company~~32~Drawing cartoons~Cartoons~~~~~Rs.91
31~1806~P GUL~~Guliver Travels ~New Delhi~Little Kingdom~~8~England-stories~Fairytales~~~~~Rs.20
32~7507~P PIE~Pierre, Stephanie st~Jungle Trek and Tommy Catches a cold~New York~Simon Spotlight~1999~42~Baby stories~Cold sickness-fiction~~~~~
33~3462~P 294.5 AMA~Singh, Rani~The amazing adventures of Hanuman~London~BBC books~1998~47~Mythology-India~Hanuman stories~~~~~
