# LSM x-direction 
# Euc_d,	tort
   0.00000,       nan
   0.00000,       nan
   0.00000,       nan
   0.00000,       nan
   0.00000,       nan
   0.00000,       nan
   0.00000,       nan
   0.00000,       nan
   0.00000,       nan
   0.00000,       nan
   0.00000,       nan
   0.00000,       nan
   0.00000,   1.00000
   0.00840,   1.00000
   0.08717,   1.00000
   0.26472,   1.00000
   0.55264,   1.00000
   0.99891,   1.00042
   1.58915,   1.01520
   2.37774,   1.02748
   3.40507,   1.03667
   4.88628,   1.06228
   6.97810,   1.07829
   9.83221,   1.10525
  13.63531,   1.13304
  18.48018,   1.10538
  25.08062,   1.10214
  33.01886,   1.07827
  42.37421,   1.12082
  52.67587,   1.07178
  65.45947,   1.13771
  79.03719,   1.08417
  93.82875,   1.07184
 109.30065,   1.06434
 125.28018,   1.07357
 141.39870,   1.06720
 157.56738,   1.06396
 173.72893,   1.06354
 189.87202,   1.06524
 206.01773,   1.07161
 222.19054,   1.08296
 238.34521,   1.08768
 254.49315,   1.09943
 270.65479,   1.11182
 286.83206,   1.12053
 302.96979,   1.12885
 319.10864,   1.13818
 335.24396,   1.13545
 351.45520,   1.13259
 367.59302,   1.13179
 383.78046,   1.13388
 399.92468,   1.13603
 416.05435,   1.13865
 432.18716,   1.14309
 448.41553,   1.14287
 464.54822,   1.14467
 480.67007,   1.14602
 496.79675,   1.15206
 512.95929,   1.15873
 529.10535,   1.16269
 545.33716,   1.16739
 561.51813,   1.17026
 577.64453,   1.18129
 593.77325,   1.18801
 609.97076,   1.19302
 626.12164,   1.19649
 642.26965,   1.19671
 658.41620,   1.20284
 674.54889,   1.20277
 690.67212,   1.20794
 706.87604,   1.22221
 723.03558,   1.22488
 739.22260,   1.21685
 755.36829,   1.21205
 771.52325,   1.21868
 787.65417,   1.22405
 803.88715,   1.22916
 820.04620,   1.24013
 836.19098,   1.25278
 852.31702,   1.25936
 868.43286,   1.26462
 884.55255,   1.27886
 900.69189,   1.28233
 916.88940,   1.28424
 933.01807,   1.28349
 949.11060,   1.28084
 965.21729,   1.27745
 981.33960,   1.27435
 997.46613,   1.27252
1013.64404,   1.26725
1029.87402,   1.26365
1046.11011,   1.26484
1062.40723,   1.26324
1078.57532,   1.25903
1094.72314,   1.25387
1110.86987,   1.24907
1127.18604,   1.24000
1143.37158,   1.23515
1159.47595,   1.23121
1175.57104,   1.22894
1191.69604,   1.22653
1207.77014,   1.22361
1223.87646,   1.22159
1240.02075,   1.21947
1256.13745,   1.22155
1272.24133,   1.22416
1288.35205,   1.22484
1304.47827,   1.22566
1320.61157,   1.22920
1336.77075,   1.23339
1352.93469,   1.23992
1369.08374,   1.24755
1385.22205,   1.25380
1401.39685,   1.25923
1417.52881,   1.26251
1433.81482,   1.26623
1450.04578,   1.26460
1466.34473,   1.26145
1482.52075,   1.25868
1498.67346,   1.25607
1514.81360,   1.25493
1531.16223,   1.25372
1547.35144,   1.25249
1563.53076,   1.25097
1579.62463,   1.24865
1595.69165,   1.24651
1611.78613,   1.24431
1627.84790,   1.24290
1643.89551,   1.24232
1659.99487,   1.24320
1676.10461,   1.23879
1692.21118,   1.23553
1708.32446,   1.23345
1724.43689,   1.23239
1740.55945,   1.23028
1756.71411,   1.22789
1772.85950,   1.22466
1789.00012,   1.22124
1805.15271,   1.21760
1821.36206,   1.21440
1837.52795,   1.21161
1853.83435,   1.20778
1869.99414,   1.20752
1886.11328,   1.20721
1902.21631,   1.20616
1918.35327,   1.20513
1934.45093,   1.20369
1950.66003,   1.20209
1966.84241,   1.20198
1982.98572,   1.20141
1999.09070,   1.20142
2015.15979,   1.20125
2031.30103,   1.19997
2047.39905,   1.19857
2063.62427,   1.19680
2079.86963,   1.19399
2096.33057,   1.19079
2112.57202,   1.18768
2128.74829,   1.18457
2144.89575,   1.18161
2161.31177,   1.17925
2177.55151,   1.17677
2193.70581,   1.17457
2209.84229,   1.17239
2226.05225,   1.17019
2242.20581,   1.16782
2258.36133,   1.16567
2274.58740,   1.16414
2290.76172,   1.16228
2306.86426,   1.16024
2322.95996,   1.15805
2339.12598,   1.15571
2355.22534,   1.15371
2371.37231,   1.15188
2387.57178,   1.15002
2403.69507,   1.14857
2419.75977,   1.14662
2435.86377,   1.14460
2451.90552,   1.14267
2467.94214,   1.14076
2484.00732,   1.13884
2500.06177,   1.13663
2516.11230,   1.13421
2532.16064,   1.13250
2548.21558,   1.13089
2564.28101,   1.12931
2580.34277,   1.12776
2596.49512,   1.12662
2612.62354,   1.12522
2628.75317,   1.12353
2644.94092,   1.12260
2661.07788,   1.12010
2677.25879,   1.11898
2693.43530,   1.11732
2709.54663,   1.11570
2725.65405,   1.11388
2741.87061,   1.11230
2757.99097,   1.11082
2774.13794,   1.10897
2790.33960,   1.10730
2806.56470,   1.10620
