,subject,session,scan,bias_max,bias_med,bias_min,cnr,efc,fber,fwhm,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,qi1,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr,snr_csf,snr_gm,snr_wm,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_csf,summary_mean_gm,summary_mean_wm,summary_p05_bg,summary_p05_csf,summary_p05_gm,summary_p05_wm,summary_p95_bg,summary_p95_csf,summary_p95_gm,summary_p95_wm,summary_stdv_bg,summary_stdv_csf,summary_stdv_gm,summary_stdv_wm
0,sub-10193,single_session,T1w,1.67731297016,1.27482867241,0.924011468887,0.874128043652,0.589446647922,5.83803701401,3.86139,3.75668,3.90114,3.92857,0.177755322732,0.381994770116,0.440249907152,0.658520798724,93915.3046875,179260.625,108038.476562,176,256,256,2.54429507256,1.63920629025,2.55977511406,3.43390321732,0.999997198582,1.0,1.0,200.394454956,80.2646484375,123.820983887,203.095275879,102.173717499,27.9332809448,24.6777801514,53.2154747009,276.113516235,134.568122864,204.656570435,285.497872925,54.5108604431,36.3469543457,57.6878128052,76.3362808228
1,sub-60037,single_session,T1w,1.49713969231,1.19212126732,0.905151128769,1.0161434412,0.53686555407,5.4234290123,4.03378,3.77947,4.10199,4.23362,0.177144380999,0.445505237171,0.37735038183,0.960641854496,78216.3203125,157447.15625,64758.6992188,176,256,256,2.37511515617,1.35476398468,2.37721896172,3.39336252213,1.00000143051,1.0,1.0,208.387741089,72.2172088623,135.599014282,224.645233154,90.8605255127,25.6425609589,23.0740821838,58.6195987701,296.972001648,122.948365784,215.567834473,305.043023682,63.8801841736,30.1726398468,61.1439285278,83.9641952515
2,sub-10570,single_session,T1w,1.41109275818,1.14368629456,0.907841384411,1.07831966877,0.526407392773,6.76729059219,4.54872,4.31984,4.62978,4.70586,0.184691226979,0.406481714388,0.408827058634,0.932378457771,87944.890625,171720.46875,68110.546875,176,256,256,2.61208462715,1.53699278831,2.61047077179,3.68879055977,1.0,1.0,1.0,178.593276978,64.3031616211,112.480361938,195.325592041,80.2479286194,23.9588862419,18.502889061,57.2105903625,248.809719086,108.112535477,182.226072693,254.423614502,53.1444549561,25.8616371155,52.2026634216,65.8295593262
3,sub-70046,single_session,T1w,1.46827721596,1.13013231754,0.809463858604,0.879420816898,0.561637591777,5.11131906509,3.84425,3.59554,3.88965,4.06219,0.176477004866,0.3990657194,0.424457275733,0.659491878409,84181.4609375,159349.421875,66019.25,176,256,256,2.3331451416,1.41132390499,2.35434532166,3.23376631737,0.999997675419,1.0,1.0,203.196258545,74.6195144653,129.066070557,217.971679688,95.2476730347,27.2546447754,22.7256195068,63.2765739441,277.874420166,125.73911972,208.762506104,284.991799927,57.4715118408,30.1129570007,59.907787323,73.191116333
4,sub-10348,single_session,T1w,1.68740701675,1.28052091599,1.01353394985,0.986366033554,0.571978584207,5.49272632599,4.21105,3.9848,4.23329,4.42676,0.199333077435,0.410702608199,0.389964314366,0.957292099029,94807.6328125,162879.59375,78400.140625,176,256,256,2.48240733147,1.5409321785,2.45996189117,3.44632792473,0.999999523163,1.0,1.0,176.89666748,69.1753387451,111.174354553,188.224746704,86.4322242737,24.4711891174,19.6428016663,50.580906868,251.369065094,114.249660873,182.569387817,260.690000916,51.8735809326,27.6119270325,52.1972160339,70.2409210205
5,sub-10891,single_session,T1w,1.47815024853,1.18548250198,0.921592891216,1.05301296711,0.522997046671,6.16523694992,4.59373,4.39388,4.61862,4.77679,0.156776775994,0.446977174774,0.396246049232,0.582965822915,75739.8125,155187.765625,64758.6289062,176,256,256,2.48650240898,1.46056103706,2.47296667099,3.52597975731,1.0,1.0,1.0,235.046081543,80.6762313843,151.443527222,252.450561523,112.019901276,28.1913067818,23.9472657204,68.3690917969,327.829162598,135.555960846,237.777664948,336.277809143,67.8438110352,33.7630958557,67.4975357056,90.2287216187
6,sub-10882,single_session,T1w,1.5222902298,1.15529584885,0.843002974987,1.03719365597,0.539879938014,7.36029291153,4.01842,3.84748,4.06997,4.14381,0.201782156089,0.379956231736,0.418261612174,0.955436877397,88238.734375,158159.671875,75289.15625,176,256,256,2.79160189629,1.75141918659,2.79309606552,3.8302898407,0.999999940395,1.0,1.0,208.550262451,83.3715133667,128.523345947,221.277816772,103.116495514,31.1391209602,24.5898979187,64.7920181274,290.0056427,137.160033417,215.074017334,299.466268921,59.220916748,31.8577041626,61.3836402893,77.5633239746
7,sub-70072,single_session,T1w,1.27591443062,1.03564703465,0.922997415066,0.84215760231,0.564449609209,4.05022859573,4.65807,4.59949,4.65788,4.71761,0.185694414337,0.441359930341,0.372945655322,0.90834036234,81632.9765625,151324.5,73120.8203125,176,256,256,2.1318385601,1.30522155762,2.12406802177,2.96622562408,1.00000476837,1.0,1.0,123.090354919,46.2647781372,79.8278427124,129.188644409,59.436620903,16.588517189,15.012376833,32.812141037,174.778220367,76.3429718018,127.667831039,180.416590118,35.7272262573,18.2151985168,36.2427787781,50.2827415466
8,sub-10228,single_session,T1w,1.42721426487,1.11831641197,0.843163132668,0.92233723402,0.534125153587,5.94719171524,3.95747,3.74994,3.99393,4.13834,0.165929346595,0.425571150273,0.408499503133,0.925081976319,79307.765625,143704.796875,60921.7851562,176,256,256,2.49696564674,1.55395245552,2.50730371475,3.42964100838,1.00000405312,1.0,1.0,155.966064453,57.18542099,100.923194885,164.679580688,77.6417095184,19.5623565674,15.9703087807,45.2037124634,212.088207245,94.8802635193,159.204152679,217.434326172,42.1362686157,23.6081771851,45.7720336914,57.6519165039
9,sub-11061,single_session,T1w,1.51054131985,1.1772800684,0.86982858181,1.01274263859,0.551757246642,6.76031970978,3.93098,3.80174,3.85638,4.14324,0.161752877687,0.439106435357,0.399140686956,0.658263857832,74379.8984375,139213.484375,61510.9257812,176,256,256,2.70530247688,1.64066648483,2.73124909401,3.74399185181,0.999996781349,1.0,1.0,253.601257324,90.2972412109,164.932189941,267.024993896,120.168919754,31.3550100327,25.2724697113,74.1180267334,346.036380005,149.711875916,259.910791016,354.687042236,69.9041824341,40.1547851562,74.8032684326,94.6646194458
