id,name
ACMC,Average cloudiness midnight to midnight from 30-second ceilometer data (percent)
ACMH,Average cloudiness midnight to midnight from manual observations (percent)
ACSC,Average cloudiness sunrise to sunset from 30-second ceilometer data (percent)
ACSH,Average cloudiness sunrise to sunset from manual observations (percent)
ALL,Base Data
ANN-CLDD-BASE45,Long-term averages of annual cooling degree days with base 45F
ANN-CLDD-BASE50,Long-term averages of annual cooling degree days with base 50F
ANN-CLDD-BASE55,Long-term averages of annual cooling degree days with base 55F
ANN-CLDD-BASE57,Long-term averages of annual cooling degree days with base 57F
ANN-CLDD-BASE60,Long-term averages of annual cooling degree days with base 60F
ANN-CLDD-BASE70,Long-term averages of annual cooling degree days with base 70F
ANN-CLDD-BASE72,Long-term averages of annual cooling degree days with base 72F
ANN-CLDD-NORMAL,Long-term averages of annual cooling degree days with base 65F
ANN-DUTR-NORMAL,Long-term averages of annual diurnal temperature range
ANN-GRDD-BASE40,Long-term averages of annual growing degree days with base 40F
ANN-GRDD-BASE45,Long-term averages of annual growing degree days with base 45F
ANN-GRDD-BASE50,Long-term averages of annual growing degree days with base 50F
ANN-GRDD-BASE55,Long-term averages of annual growing degree days with base 55F
ANN-GRDD-BASE57,Long-term averages of annual growing degree days with base 57F
ANN-GRDD-BASE60,Long-term averages of annual growing degree days with base 60F
ANN-GRDD-BASE65,Long-term averages of annual growing degree days with base 65F
ANN-GRDD-BASE70,Long-term averages of annual growing degree days with base 70F
ANN-GRDD-BASE72,Long-term averages of annual growing degree days with base 72F
ANN-GRDD-TB4886,Long-term averages of annual growing degree days with truncated bases 48F and 86F
ANN-GRDD-TB5086,Long-term averages of annual growing degree days with truncated bases 50F and 86F
ANN-HTDD-BASE40,Long-term averages of annual heating degree days with base 40F
ANN-HTDD-BASE45,Long-term averages of annual heating degree days with base 45F
ANN-HTDD-BASE50,Long-term averages of annual heating degree days with base 50F
ANN-HTDD-BASE55,Long-term averages of annual heating degree days with base 55F
ANN-HTDD-BASE57,Long-term averages of annual heating degree days with base 57F
ANN-HTDD-BASE60,Long-term averages of annual heating degree days with base 60F
ANN-HTDD-NORMAL,Long-term averages of annual heating degree days with base 65F
ANN-PRCP-AVGNDS-GE001HI,Long-term averages of number of days during the year with precipitation >= 0.01 inches
ANN-PRCP-AVGNDS-GE010HI,Long-term averages of number of days during the year with precipitation >= 0.10 inches
ANN-PRCP-AVGNDS-GE050HI,Long-term averages of number of days during the year with precipitation >= 0.50 inches
ANN-PRCP-AVGNDS-GE100HI,Long-term averages of number of days during the year with precipitation >= 1.00 inches
ANN-PRCP-NORMAL,Long-term averages of annual precipitation totals
ANN-SNOW-AVGNDS-GE001TI,Long-term averages of number of days during the year with snowfall >= 0.1 inches
ANN-SNOW-AVGNDS-GE010TI,Long-term averages of number of days during the year with snowfall >= 1.0 inches
ANN-SNOW-AVGNDS-GE030TI,Long-term averages of number of days during the year with snowfall >= 3.0 inches
ANN-SNOW-AVGNDS-GE050TI,Long-term averages of number of days during the year with snowfall >= 5.0 inches
ANN-SNOW-AVGNDS-GE100TI,Long-term averages of number of days during the year with snowfall >= 10.0 inches
ANN-SNOW-NORMAL,Long-term averages of annual snowfall totals
ANN-SNWD-AVGNDS-GE001WI,Long-term averages of number of days during the year with snow depth >= 1 inch
ANN-SNWD-AVGNDS-GE003WI,Long-term averages of number of days during the year with snow depth >= 3 inches
ANN-SNWD-AVGNDS-GE005WI,Long-term averages of number of days during the year with snow depth >=5 inches
ANN-SNWD-AVGNDS-GE010WI,Long-term averages of number of days during the year with snow depth >=10 inches
ANN-TAVG-NORMAL,Long-term averages of annual average temperature
ANN-TMAX-AVGNDS-GRTH040,Long-term average number of days per year where tmax is greater than or equal to 40F
ANN-TMAX-AVGNDS-GRTH050,Long-term average number of days per year where tmax is greater than or equal to 50F
ANN-TMAX-AVGNDS-GRTH060,Long-term average number of days per year where tmax is greater than or equal to 60F
ANN-TMAX-AVGNDS-GRTH070,Long-term average number of days per year where tmax is greater than or equal to 70F
ANN-TMAX-AVGNDS-GRTH080,Long-term average number of days per year where tmax is greater than or equal to 80F
ANN-TMAX-AVGNDS-GRTH090,Long-term average number of days per year where tmax is greater than or equal to 90F
ANN-TMAX-AVGNDS-GRTH100,Long-term average number of days per year where tmax is greater than or equal to 100F
ANN-TMAX-AVGNDS-LSTH032,Long-term average number of days per year where tmax is less than or equal to 32F
ANN-TMAX-NORMAL,Long-term averages of annual maximum temperature
ANN-TMIN-AVGNDS-LSTH000,Long-term average number of days per year where tmin is less than or equal to 0F
ANN-TMIN-AVGNDS-LSTH010,Long-term average number of days per year where tmin is less than or equal to 10F
ANN-TMIN-AVGNDS-LSTH020,Long-term average number of days per year where tmin is less than or equal to 20F
ANN-TMIN-AVGNDS-LSTH032,Long-term average number of days per year where tmin is less than or equal to 32F
ANN-TMIN-AVGNDS-LSTH040,Long-term average number of days per year where tmin is less than or equal to 40F
ANN-TMIN-AVGNDS-LSTH050,Long-term average number of days per year where tmin is less than or equal to 50F
ANN-TMIN-AVGNDS-LSTH060,Long-term average number of days per year where tmin is less than or equal to 60F
ANN-TMIN-AVGNDS-LSTH070,Long-term average number of days per year where tmin is less than or equal to 70F
ANN-TMIN-NORMAL,Long-term averages of annual minimum temperature
ANN-TMIN-PRBFST-T16FP10,10% probability date of first 16F occurrence or earlier
ANN-TMIN-PRBFST-T16FP20,20% probability date of first 16F occurrence or earlier
ANN-TMIN-PRBFST-T16FP30,30% probability date of first 16F occurrence or earlier
ANN-TMIN-PRBFST-T16FP40,40% probability date of first 16F occurrence or earlier
ANN-TMIN-PRBFST-T16FP50,50% probability date of first 16F occurrence or earlier
ANN-TMIN-PRBFST-T16FP60,60% probability date of first 16F occurrence or earlier
ANN-TMIN-PRBFST-T16FP70,70% probability date of first 16F occurrence or earlier
ANN-TMIN-PRBFST-T16FP80,80% probability date of first 16F occurrence or earlier
ANN-TMIN-PRBFST-T16FP90,90% probability date of first 16F occurrence or earlier
ANN-TMIN-PRBFST-T20FP10,10% probability date of first 20F occurrence or earlier
ANN-TMIN-PRBFST-T20FP20,20% probability date of first 20F occurrence or earlier
ANN-TMIN-PRBFST-T20FP30,30% probability date of first 20F occurrence or earlier
ANN-TMIN-PRBFST-T20FP40,40% probability date of first 20F occurrence or earlier
ANN-TMIN-PRBFST-T20FP50,50% probability date of first 20F occurrence or earlier
ANN-TMIN-PRBFST-T20FP60,60% probability date of first 20F occurrence or earlier
ANN-TMIN-PRBFST-T20FP70,70% probability date of first 20F occurrence or earlier
ANN-TMIN-PRBFST-T20FP80,80% probability date of first 20F occurrence or earlier
ANN-TMIN-PRBFST-T20FP90,90% probability date of first 20F occurrence or earlier
ANN-TMIN-PRBFST-T24FP10,10% probability date of first 24F occurrence or earlier
ANN-TMIN-PRBFST-T24FP20,20% probability date of first 24F occurrence or earlier
ANN-TMIN-PRBFST-T24FP30,30% probability date of first 24F occurrence or earlier
ANN-TMIN-PRBFST-T24FP40,40% probability date of first 24F occurrence or earlier
ANN-TMIN-PRBFST-T24FP50,50% probability date of first 24F occurrence or earlier
ANN-TMIN-PRBFST-T24FP60,60% probability date of first 24F occurrence or earlier
ANN-TMIN-PRBFST-T24FP70,70% probability date of first 24F occurrence or earlier
ANN-TMIN-PRBFST-T24FP80,80% probability date of first 24F occurrence or earlier
ANN-TMIN-PRBFST-T24FP90,90% probability date of first 24F occurrence or earlier
ANN-TMIN-PRBFST-T28FP10,10% probability date of first 28F occurrence or earlier
ANN-TMIN-PRBFST-T28FP20,20% probability date of first 28F occurrence or earlier
ANN-TMIN-PRBFST-T28FP30,30% probability date of first 28F occurrence or earlier
ANN-TMIN-PRBFST-T28FP40,40% probability date of first 28F occurrence or earlier
ANN-TMIN-PRBFST-T28FP50,50% probability date of first 28F occurrence or earlier
